"","Product","HS.Code","UOM","Qty_import_original","Qty_export_original","Qty_import","Qty_export"
"1","Live Bovine Animals",102,"NO",1661297,425332,1661297,425332
"2","Live Swine",103,"NO",6485816,45280,6485816,45280
"3","Live Poultry",105,"NO",13532929,67845746,13532929,67845746
"4","Meat Bovine Fr/Ch",201,"MT",611495.6,422604.6,1650015.11063141,1140325.41824069
"5","Meat Bovine Frozen",202,"MT",456315.9,721520,1231289.5304911,1946896.92390718
"6","Meat Of Swine",203,"MT",485583.6,1913598.8,4990581.70606372,19666996.9167523
"7","Meat, Poultry",207,"MT",122415.7,3844510.6,50376831.2757202,1582103127.57202
"8","Birds Eggs, In Shell",407,"DOZ",15924302,144522086,15924302,144522086
"9","Birds Eggs, Other",408,"MT",7528.8,21694.6,10456666.6666667,30131388.8888889
"10","Bovine Offal Fr/Ch",20610,"MT",16860.3,19389.9,45494.6033459255,52320.29141932
"11","Bovine Tongues, Froz",20621,"MT",1148.9,12735.8,3100.10793308149,34365.3534808419
"12","Bovine Livers, Froz",20622,"MT",364.4,65922.7,983.270372369131,177881.003777658
"13","Bovine Offal Froz",20629,"MT",46345.1,132863.5,125054.236373448,358509.174311927
"14","Swine Livers, Froz",20641,"MT",4125.7,651.4,42401.8499486125,6694.75847893114
"15","Swine Offal Froz",20649,"MT",19487.4,391632.7,200281.603288798,4025002.05549846
"16","Pig Fat",20910,"MT",9728.5,17880.1,99984.5837615622,183762.589928058
"17","Poultry Fat",20990,"MT",588.4,743.7,6047.27646454265,7643.37101747174
"18","Hams, Cured",21011,"MT",2160.3,13034,22202.4665981501,133956.834532374
"19","Swine Bellies, Bacon, Cured",21012,"MT",21318.4,32245.6,219099.691675231,331403.905447071
"20","Swine Meat, Nesoi, Cured",21019,"MT",18097.3,9596.1,185994.861253854,98623.8437821172
"21","Bovine Meat, Cured",21020,"MT",313.2,322.6,845.116028062601,870.480302212628
